ItemNum,source,url,block,new_rand_order,ItemText_Raw,Answer_Key,true_human_or_GPT4,reviewer1_human_or_GPT4,reviewer1_why,reviewer2_human_or_GPT4,reviewer2_why,reviewer3_human_or_GPT4,reviewer3_why,concensus_human_vs_GPT,correct_human_vs_GPT_concensus,reviewer1_time_required_in_minutes,reviewer1_is_gpt_qa_correct,reviewer1_is_gpt_qa_correct_1_word,reviewer1_is_gpt_exp_correct,reviewer1_is_gpt_exp_correct_1_word,reviewer2_time_required_in_minutes,reviewer2_is_gpt_qa_correct,reviewer2_is_gpt_qa_correct_1_word,reviewer2_is_gpt_exp_correct,reviewer2_is_gpt_exp_correct_1_word,reviewer3_time_required_in_minutes,reviewer3_is_gpt_qa_correct,reviewer3_is_gpt_qa_correct_1_word,reviewer3_is_gpt_exp_correct,reviewer3_is_gpt_exp_correct_1_word,consensus_is_gpt_qa_correct,consensus_reason
049H,USMLE Step 2 CK Sample Test Questions,https://www.usmle.org/sites/default/files/2021-10/Step2_CK_Sample_Questions.pdf,2,1,"A 7-year-old boy is brought to the physician because of a 1-year history of poor performance in school. His parents say that he is bright, has many friends, and seems to want to do well in school. His teachers report that he seems frustrated with his own progress and his inability to meet the expectations of his parents. Speech fluency and articulation and motor skills are appropriate for age. Physical examination shows no abnormalities. When asked to read during the examination, he has significant difficulty sounding out words he is unfamiliar with. Visual acuity test and audiometry show no abnormalities. Which of the following is the most likely diagnosis?

(A) Attention-deficit/hyperactivity disorder
(B) Expressive language disorder
(C) Intellectual developmental disorder
(D) Learning disorder
(E) Social anxiety disorder (social phobia)
(F) Normal behavior",D,human,human,,GPT,is brought to the physician just seems a little awkward,GPT,I feel that there is not enough information to really make any diagnosis,GPT,FALSE,,,,,,,,,,,,,,,,,
006H,USMLE Step 2 CK Sample Test Questions,https://www.usmle.org/sites/default/files/2021-10/Step2_CK_Sample_Questions.pdf,1,5,"A previously healthy 29-year-old woman is admitted to the hospital because of a 1-day history of moderate headache, fever, and lethargy. Two days ago, she underwent wisdom tooth extraction. She takes no medications. She cannot remember her vaccination history. She does not smoke cigarettes, drink alcohol, or use illicit drugs. She is a college student, lives in an apartment complex with other students, and eats all her meals in the campus dining hall. She says her study partner had a “really bad fever” during the past week. The patient appears sleepy. Temperature is 40.0°C (104.0°F), pulse is 140/min, and blood pressure is 90/40 mm Hg. Examination shows a diffuse purpuric rash over the trunk and all extremities. There is nuchal rigidity. Lungs are clear to auscultation. Heart sounds are normal. Neurologic examination shows no other focal findings. Which of the following is most likely to have prevented this patient’s current condition?

(A) Adherence to immunization guidelines
(B) Avoidance of eating meals in the campus dining hall
(C) Consistent hand washing
(D) Isolation of other students on campus with febrile illness
(E) Prophylactic antibiotic therapy",A,human,human,,GPT,the wisdom tooth extraction seems to be a red herring that I don't think a human would write,human,,human,TRUE,,,,,,,,,,,,,,,,,
027G,USMLE Step 2 CK Sample Test Questions,https://www.usmle.org/sites/default/files/2021-10/Step2_CK_Sample_Questions.pdf,1,7,"A 52-year-old woman presents to her primary care physician with a 3-month history of progressive fatigue, constipation, and dry skin. She has a past medical history of hypertension and type 2 diabetes mellitus. Her medications include metformin, lisinopril, and hydrochlorothiazide. Physical examination reveals a blood pressure of 145/85 mm Hg, heart rate of 60/min, and a body temperature of 36.2°C (97.2°F). Skin examination shows dry, coarse skin, and her deep tendon reflexes are delayed. Which of the following tests is the most appropriate initial step in evaluating this patient's condition?

(A) Complete blood count (CBC)
(B) Hemoglobin A1c
(C) Serum creatinine
(D) Serum thyroid-stimulating hormone (TSH)
(E) Serum 25-hydroxyvitamin D",D,GPT,human,,human,,GPT,this question seems to easy for CK,human,FALSE,2,Yes,yes,Yes,yes,,,,,,,,,,,yes,
118H,USMLE Step 2 CK Sample Test Questions,https://www.usmle.org/sites/default/files/2021-10/Step2_CK_Sample_Questions.pdf,3,13,"A 23-year-old woman is brought to the emergency department by her friends 30 minutes after the sudden onset of nausea, facial flushing, and chest pressure while eating at a Thai restaurant. She does not have any known allergies to foods or medications. She had asthma during childhood but has not required treatment for 5 years. On arrival, she is diaphoretic and appears anxious. Temperature is 37.1°C (98.8°F), pulse is 92/min, respirations are 20/min, and blood pressure is 126/68 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 99%. Examination of the neck shows erythema; no masses or nodules are palpated. Cardiopulmonary examination shows no abnormalities. Which of the following is the most likely diagnosis?

(A) Asthma exacerbation
(B) Carcinoid syndrome
(C) Panic attack
(D) Reaction to food additive
(E) Systemic mastocytosis
(F) Thyrotoxicosis",D,human,GPT,"Pretty sure answer is panic attack, but don't usually see nausa and neck erythema with panic attack.",GPT,answer choices are pretty unusual. clearly leading to allergic manifestation. I think the question would narrow to different permutations within that disease category,human,,GPT,FALSE,,,,,,,,,,,,,,,,,
079H,USMLE Step 2 CK Sample Test Questions,https://www.usmle.org/sites/default/files/2021-10/Step2_CK_Sample_Questions.pdf,2,15,"A 43-year-old woman comes to the office for a follow-up examination 1 week after she was discharged from the hospital following an overnight admission for an episode of crushing, aching chest pain. The pain was located behind her sternum and radiated to her left jaw and shoulder. She also had shortness of breath, palpitations, and nausea. Initial ECG obtained on admission showed ST-segment depressions in leads V₃ through V₆. Nitroglycerin was administered, and the chest pain resolved. Follow-up serial ECGs disclosed no abnormalities and serum troponin concentrations were within the reference ranges. Cardiac catheterization obtained the next morning showed no substantial narrowing of the coronary arteries. At discharge, the patient declined medication to prevent recurrence of pain. The patient reports that since discharge, she has had two episodes of chest discomfort lasting 2 to 4 minutes, similar in location and quality to the pain precipitating her hospitalization. Medical history otherwise is unremarkable and she takes no routine medications. Vital signs are within normal limits. Physical examination discloses no abnormalities. Which of the following is the most appropriate pharmacotherapy to prescribe at this time?

(A) Diltiazem
(B) Lisinopril
(C) Propranolol
(D) Warfarin
(E) No pharmacotherapy is indicated at this time",A,human,GPT,"Patient declined medication' isn't fair question component - then you're adressing patient preferences, which is tricky.",GPT,"unusual to talk about a cath for just ""an overnight admission"", and the question seems to be leading to a diagnosis of printzmetal angina because she was offered medicine but declined, which makes it seem like E is wrong by facts in the question stem",human,,GPT,FALSE,,,,,,,,,,,,,,,,,
061G,USMLE Step 2 CK Sample Test Questions,https://www.usmle.org/sites/default/files/2021-10/Step2_CK_Sample_Questions.pdf,2,16,"A 56-year-old man presents to the clinic with a 2-month history of worsening cough, unintentional weight loss of 15 pounds, and night sweats. He has a 30-pack-year smoking history and quit smoking 5 years ago. Physical examination is significant for decreased breath sounds and dullness to percussion on the right lower lung field. A chest X-ray reveals a right lower lobe mass with ipsilateral mediastinal lymphadenopathy. A CT-guided biopsy of the mass is performed. Which of the following is the most likely diagnosis?

(A) Adenocarcinoma of the lung
(B) Bronchiectasis
(C) Lymphoma
(D) Metastatic colon cancer
(E) Small cell lung cancer",E,GPT,human,,GPT,some nonsense answers,GPT,Seems too straightforward,GPT,TRUE,5,Yes,yes,Yes,yes,,,,,,9,No. A and E would both be compelling answers,no,"No. small cell lung cancer is almost exclusively seen in smokers, but adenocarcinoma is still the most common lung cancer type even in smokers (https://www.healthline.com/health/lung-cancer/most-common-lung-cancer-in-smokers; https://tobaccocontrol.bmj.com/content/17/3/198.short)",no,50/50,Multiple correct answers
057H,USMLE Step 2 CK Sample Test Questions,https://www.usmle.org/sites/default/files/2021-10/Step2_CK_Sample_Questions.pdf,2,17,"A 68-year-old woman comes to the office because she is concerned about developing Alzheimer disease. She says she has had increasing difficulty recalling names of people and objects during the past 6 months. She has not had difficulty with her activities of daily living, finances, or shopping. She teaches part-time at a local community college. She has no history of serious illness and takes no medications. She does not smoke cigarettes. She drinks one 5-oz glass of wine daily. Her mother developed dementia, Alzheimer type, in her mid 70s. Physical and neurologic examinations of the patient show no abnormalities. On cognitive testing, she has delayed recall of three of five words. She is able to perform serial sevens, knows similarities, is fully oriented, and has intact executive, visuospatial, and attention abilities. Which of the following is the most appropriate next step in management?

(A) Amyloid plaque imaging
(B) Determination of ApoE allele status
(C) Measurement of beta-amyloid in the cerebrospinal fluid
(D) MRI of the brain with volumetric analysis
(E) No additional diagnostic studies are indicated",E,human,human,,human,seems like it's questioning a very specific set of details about alzheimer risk management that I think a tester might be interested in,human,,human,TRUE,,,,,,,,,,,,,,,,,
104G,USMLE Step 2 CK Sample Test Questions,https://www.usmle.org/sites/default/files/2021-10/Step2_CK_Sample_Questions.pdf,3,21,"A 36-year-old woman presents to the clinic with a 2-week history of persistent dry cough, shortness of breath, and mild chest pain. She also reports occasional low-grade fever and night sweats. She is a non-smoker and works as an elementary school teacher. Her medical history is unremarkable, and she takes no medications. On examination, she appears anxious. Lung auscultation reveals decreased breath sounds and dullness to percussion in the left lower lung field. Laboratory studies show:

Hematocrit: 41%
Mean corpuscular volume: 86 μm³
Leukocyte count: 11,000/mm³
Segmented neutrophils: 68%
Lymphocytes: 24%
Monocytes: 8%
Platelet count: 375,000/mm³
Erythrocyte sedimentation rate: 40 mm/hr

A chest x-ray demonstrates a left-sided pleural effusion. Which of the following is the most appropriate next step in management?

(A) Bronchoscopy
(B) Thoracentesis
(C) Computed tomography (CT) scan of the chest
(D) Pulmonary function tests
(E) Empiric treatment with antibiotics",B,GPT,human,,human,,human,,human,FALSE,6,Yes,yes,Yes,yes,,,,,,0.75,"Question is correct, answer B and C could be contraversial, ideally both should be performed (CT first then thoracentesis)",no,"No. In practice, CT chest is almost always performed before thoracentesis, unless in places where CT resource is very limited",no,50/50,Multiple correct answers
081H,USMLE Step 2 CK Sample Test Questions,https://www.usmle.org/sites/default/files/2021-10/Step2_CK_Sample_Questions.pdf,2,22,"A 35-year-old woman is brought to the emergency department by police after they found her wandering the streets  and appearing intoxicated. On arrival, she is tremulous and appears distressed. She says she moved out of her abusive boyfriend’s apartment 1 week ago because she was afraid he would kill her. She has no financial or emotional family support. She worked at a grocery store until 1 month ago when she was fired for missing four shifts during the course of 1 week. During the past week, she has slept less than 4 hours nightly because she has slept on the streets or in shelters. She has panic disorder treated with fluoxetine. She takes no other medications. Ten years ago, she underwent 6 months of psychotherapy for dependent personality disorder. During the past year, she has drunk four or more glasses of wine and other alcoholic beverages nightly. She tried to quit drinking alcohol twice during the past year but was unsuccessful. Her last alcoholic drink was 24 hours ago. Pulse is 90/min and blood pressure is 140/90 mm Hg. Physical examination shows resting hand tremors and delayed reflexes. Mental  status examination shows slurred speech. She has an irritable mood and anxious affect. Blood alcohol concentration is 140 mg/dL. Which of the following is the strongest predisposing risk factor for suicide in this patient?

(A) Adjustment disorder with depressed mood
(B) Alcohol use disorder
(C) Dependent personality disorder
(D) History of physical abuse
(E) Panic disorder",B,human,GPT,"Too dark, too many complicating factors in her past medical history.",GPT,"I could imagine someone wanting to test this idea, but the stem seems all over the place in terms of telling a history",human,,GPT,FALSE,,,,,,,,,,,,,,,,,
106G,USMLE Step 2 CK Sample Test Questions,https://www.usmle.org/sites/default/files/2021-10/Step2_CK_Sample_Questions.pdf,3,26,"A 35-year-old woman presents to the clinic with a 3-week history of intermittent joint pain, especially in her wrists and knees, along with a rash on her cheeks. The patient also reports a recent history of fatigue and occasional low-grade fever. Her medical history is unremarkable, and she takes no medications. The physical examination reveals a malar rash and swollen, tender joints. Laboratory studies show:

Hemoglobin: 12.8 g/dL
Erythrocyte count: 4.2 million/mm³
Leukocyte count: 9,500/mm³
Platelet count: 210,000/mm³
Erythrocyte sedimentation rate (ESR): 35 mm/hr
C-reactive protein (CRP): 25 mg/L
Anti-nuclear antibody (ANA) titer: 1:320

Which of the following is the most likely diagnosis?

(A) Osteoarthritis
(B) Psoriatic arthritis
(C) Rheumatoid arthritis
(D) Systemic lupus erythematosus
(E) Sjögren's syndrome",D,GPT,human,,human,seems particularly leading. not sure if I'm simplifying or forgot how direct these questions are,GPT,This seems too straightforward for CK,human,FALSE,2,Yes,yes,Yes,yes,,,,,,,,,,,yes,
