item_num,gt_answer,model,model_answer
049H,D,Qwen1.5-72B-Chat,D
006H,A,Qwen1.5-72B-Chat,A
027G,D,Qwen1.5-72B-Chat,D
118H,D,Qwen1.5-72B-Chat,D
079H,A,Qwen1.5-72B-Chat,C
061G,E,Qwen1.5-72B-Chat,A
057H,E,Qwen1.5-72B-Chat,E
104G,B,Qwen1.5-72B-Chat,B
081H,B,Qwen1.5-72B-Chat,B
106G,D,Qwen1.5-72B-Chat,D
067G,B,Qwen1.5-72B-Chat,C
077G,C,Qwen1.5-72B-Chat,C
037H,A,Qwen1.5-72B-Chat,A
042G,A,Qwen1.5-72B-Chat,A
120G,A,Qwen1.5-72B-Chat,A
036H,D,Qwen1.5-72B-Chat,D
066H,E,Qwen1.5-72B-Chat,E
062G,D,Qwen1.5-72B-Chat,D
013G,C,Qwen1.5-72B-Chat,C
063H,E,Qwen1.5-72B-Chat,E
097H,B,Qwen1.5-72B-Chat,A
073G,B,Qwen1.5-72B-Chat,B
043H,B,Qwen1.5-72B-Chat,B
066G,B,Qwen1.5-72B-Chat,A
104H,A,Qwen1.5-72B-Chat,A
086G,D,Qwen1.5-72B-Chat,D
083G,B,Qwen1.5-72B-Chat,B
045H,C,Qwen1.5-72B-Chat,C
089G,B,Qwen1.5-72B-Chat,B
032G,C,Qwen1.5-72B-Chat,C
099H,A,Qwen1.5-72B-Chat,A
027H,E,Qwen1.5-72B-Chat,E
100H,C,Qwen1.5-72B-Chat,C
035G,B,Qwen1.5-72B-Chat,B
068G,C,Qwen1.5-72B-Chat,B
065G,C,Qwen1.5-72B-Chat,C
006G,B,Qwen1.5-72B-Chat,B
086H,E,Qwen1.5-72B-Chat,A
042H,B,Qwen1.5-72B-Chat,B
036G,B,Qwen1.5-72B-Chat,B
007H,D,Qwen1.5-72B-Chat,B
116H,B,Qwen1.5-72B-Chat,B
111H,A,Qwen1.5-72B-Chat,C
106H,E,Qwen1.5-72B-Chat,E
072H,B,Qwen1.5-72B-Chat,B
031G,C,Qwen1.5-72B-Chat,D
061H,E,Qwen1.5-72B-Chat,E
022H,A,Qwen1.5-72B-Chat,A
